company,source_type,careers_url,ats,token,notes
1Password,STARTUP,,ASHBY,1password,Auto-discovered by successful public ATS API probe.
Abridge,STARTUP,,ASHBY,abridge,Auto-discovered by successful public ATS API probe.
Adobe,DIRECT_EMPLOYER,https://adobe.wd5.myworkdayjobs.com/external_experienced,WORKDAY,,Verified Workday CXS source. Resolved from Adobe branded careers site.
Affirm,DIRECT_EMPLOYER,,GREENHOUSE,affirm,Auto-discovered by successful public ATS API probe.
Airbnb,DIRECT_EMPLOYER,,GREENHOUSE,airbnb,Auto-discovered by successful public ATS API probe.
Airbyte,STARTUP,,ASHBY,airbyte,Auto-discovered by successful public ATS API probe.
Airtable,STARTUP,,GREENHOUSE,airtable,Auto-discovered by successful public ATS API probe.
Amazon,DIRECT_EMPLOYER,https://www.amazon.jobs/en/,AMAZON,5,V8.5.1 tier=1; industry=Cloud/Commerce; sponsor_priority=HIGH
Anthropic,DIRECT_EMPLOYER,,GREENHOUSE,anthropic,Auto-discovered by successful public ATS API probe.
Antra Inc,CONSULTING,,SMARTRECRUITERS,antrainc,Auto-discovered by successful public ATS API probe.
Apple,DIRECT_EMPLOYER,https://jobs.apple.com/en-us/search,HYBRID,,Hybrid HTML discovery with optional JSON detail enrichment. US-scoped source. Detail API falls back safely on HTTP 429/436.
Asana,DIRECT_EMPLOYER,,GREENHOUSE,asana,Auto-discovered by successful public ATS API probe.
Astronomer,STARTUP,,ASHBY,astronomer,Auto-discovered by successful public ATS API probe.
AT&T,DIRECT_EMPLOYER,https://att.wd1.myworkdayjobs.com/ATTGeneral,WORKDAY,,Verified Workday CXS source. Resolved from branded careers site with locale-aware resolver and validated via POST /wday/cxs/{tenant}/{site}/jobs.
Bank of America,DIRECT_EMPLOYER,https://ghr.wd1.myworkdayjobs.com/lateral-us,WORKDAY,,Verified Workday CXS source. Resolved from branded careers site with locale-aware resolver and validated via POST /wday/cxs/{tenant}/{site}/jobs.
Basis,STARTUP,,LEVER,basis,Auto-discovered by successful public ATS API probe.
BCforward,STAFFING_AGENCY,,SMARTRECRUITERS,bcforward,Auto-discovered by successful public ATS API probe.
Block,DIRECT_EMPLOYER,,GREENHOUSE,block,Auto-discovered by successful public ATS API probe.
Boeing,DIRECT_EMPLOYER,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS,WORKDAY,,Verified Workday CXS source. Resolved from branded careers site with locale-aware resolver and validated via POST /wday/cxs/{tenant}/{site}/jobs.
Box,DIRECT_EMPLOYER,https://job-boards.greenhouse.io/boxinc,GREENHOUSE,boxinc,Verified Greenhouse public job-board source. Token boxinc returned active jobs.
Brex,DIRECT_EMPLOYER,,GREENHOUSE,brex,Auto-discovered by successful public ATS API probe.
Canva,DIRECT_EMPLOYER,,SMARTRECRUITERS,canva,Auto-discovered by successful public ATS API probe.
Capital One,DIRECT_EMPLOYER,https://capitalone.wd12.myworkdayjobs.com/Capital_One,WORKDAY,,Verified Workday CXS source. Resolved from branded careers site and validated with POST /wday/cxs/{tenant}/{site}/jobs.
CaptivateIQ,STARTUP,,LEVER,captivateiq,Auto-discovered by successful public ATS API probe.
CarGurus,DIRECT_EMPLOYER,,GREENHOUSE,cargurus,Auto-discovered by successful public ATS API probe.
Carta,STARTUP,,GREENHOUSE,carta,Auto-discovered by successful public ATS API probe.
Caterpillar,DIRECT_EMPLOYER,https://cat.wd5.myworkdayjobs.com/CaterpillarCareers,WORKDAY,,Verified Workday CXS source. Resolved from Caterpillar branded careers site.
